firstName,lastName,schoolName,imageUrl,playerUrl
Evan,Atkin,"University of Colorado, Colorado Springs",https://gomountainlions.com/images/2025/11/3/Evan_Atkin.jpg?width=300,https://gomountainlions.com/sports/mens-track-and-field/roster/evan-atkin/7367
Jason,Barket,Morehead State University,https://msueagles.com/images/2025/8/5/Barket_Jason.jpg?width=300,https://msueagles.com/sports/football/roster/jason-barket/8593
Jeremy,Giesegh,"California State University, San Bernardino",https://csusbathletics.com/images/2024/1/2/Coyote.jpg?width=300,https://csusbathletics.com/sports/baseball/roster/jeremy-giesegh/4727
Ronaldo,Barnett,Middle Georgia State University,https://mgaknights.com/images/2025/8/11/_7_Ronaldo_Barnett.JPG?width=300,https://mgaknights.com/sports/mens-soccer/roster/ronaldo-barnett/1601
Peyton,Greenwood,Governors State University,https://governorssu.prestosports.com/sports/wbkb/2025-26/bios/202526JVNo0WBB.jpg?max_width=510&max_height=600,https://governorssu.prestosports.com/sports/wbkb/2025-26/bios/greenwood_peyton_ra4i
Arthur,Chavez,"California State University, San Bernardino",https://csusbathletics.com/images/2024/1/2/Coyote.jpg?width=300,https://csusbathletics.com/sports/baseball/roster/arthur-chavez/4738
Javion,Lane,Clark Atlanta University,https://clarkatlantasports.com/images/2025/9/16/Javion_Lane.jpg?width=300,https://clarkatlantasports.com/sports/mens-cross-country/roster/javion-lane/3433
Sania,Dearing,Ohio University,https://ohiobobcats.com/images/2025/8/4/Dearing_Sania.jpg?width=300,https://ohiobobcats.com/sports/wsoc/roster/sania-dearing/5649
Julian,Bush,University of Saint Mary,https://gospires.com/images/2025/8/21/Julian_Bush.JPG?width=300,https://gospires.com/sports/football/roster/julian-bush/9144
Imran,Okedeyi,Lycoming College,https://lycomingathletics.com/images/2025/9/2/2025_fb_headshots_edited_okedeyi_200_9434-Edit.jpg?width=300,https://lycomingathletics.com/sports/football/roster/imran-okedeyi/23644
Maia,Soulis,Ohio University,https://ohiobobcats.com/images/2025/8/5/Soulis_Maia.jpg?width=300,https://ohiobobcats.com/sports/wsoc/roster/maia-soulis/5664
Michael,Fayiah,Concord University,https://cumountainlions.com/images/2025/8/18/1U2A2129.jpg?width=300,https://cumountainlions.com/sports/mens-soccer/roster/michael-fayiah/9667
Audrey,Abel,Grace College,https://gclancers.com/images/2025/8/11/Audrey_Abel.JPG?width=146,https://gclancers.com/sports/womens-soccer/roster/audrey-abel/5485
Spencer,Cox,Navarro College,https://navarrobulldogs.com/images/2025/9/4/Spencer_Cox.jpg?width=300,https://navarrobulldogs.com/sports/baseball/roster/spencer-cox/1740
Michael,Barretto,Nebraska Wesleyan University,https://nwusports.com/images/2025/11/3/8B6A9627.jpg?width=300,https://nwusports.com/sports/wrestling/roster/michael-barretto/10440
Ella,Whitaker,Northwest University,https://nueagles.com/images/2025/11/4/251027WomensBasketballMediaDay-6350_5FiwY.jpg?width=300,https://nueagles.com/sports/womens-basketball/roster/ella-whitaker/2654
Adel,Hoglund,Siena Heights University,https://shusaints.com/sports/flagfball/2025-26/photos/headshots/Hoglund-Adel.jpg?max_width=600&max_height=800,https://shusaints.com/sports/flagfball/2025-26/bios/hoglund_adel_h2v0
Octavio,Singh,Concordia University Wisconsin,https://cuwfalcons.com/images/2025/12/1/Singh__Octavio.JPG?width=300,https://cuwfalcons.com/sports/wrestling/roster/octavio-singh/13692
Zion,Howell,Wofford College,https://woffordterriers.com/images/2025/11/11/2025_MTrack_HS_WEB_Howell_Zion_2025.jpg?width=300,https://woffordterriers.com/sports/mens-track-and-field/roster/zion-howell/9554
Alivia,Lilly,Marian University,https://muknights.com/images/2025/12/2/Alivia_Lilly_TF25_Ih2xN.JPG?width=300,https://muknights.com/sports/womens-track-and-field/roster/alivia-lilly/13614
Deuce,Roberson,Northeastern State University,https://goriverhawksgo.com/images/2025/8/12/Headshot_Crops_100-Deuce_Roberson.jpg?width=146,https://goriverhawksgo.com/sports/football/roster/deuce-roberson/6887
Andre,Bigham,Virginia State University,https://govsutrojans.com/images/2025/1/21/LAX-10.jpg?width=300,https://govsutrojans.com/sports/mens-lacrosse/roster/andre-bigham/5671
Jason,Louiso,Wilmington College (Ohio),https://wilmingtonquakers.com/images/2025/10/23/Edited_Head_Shots_Louiso_Jason.png?width=300,https://wilmingtonquakers.com/sports/wrestling/roster/jason-louiso/8298
Jozef,Palushaj,Lindenwood University,https://lindenwoodlions.com/images/2025/8/7/Jozef_Palushj.jpg?width=300,https://lindenwoodlions.com/sports/mens-soccer/roster/jozef-palushaj/28632
