firstName,lastName,schoolId,schoolName,sport,imageUrl,hasImage
Thalia,Benoit,6494c945e689be73b73cc401,State University of New York at Albany,Women's Track and Field,https://ualbanysports.com/images/2025/9/24/Benoit_Thalia_25-26.JPG?width=300,YES
Gracie,Rellin,6494c8c0e689be73b73cbf40,Centenary College (Louisiana),Women's Soccer,https://www.gocentenary.com/sports/wsoc/2025-26/bios/2025_Gracie_Rellin_IMG_9393.jpg?max_width=510&max_height=600,YES
Jaiden,Block,6494c930e689be73b73cc346,Southern Illinois University at Carbondale,Men's Track and Field,,NO
Trey,Flood,6494c8abe689be73b73cbe7c,Alma College,Baseball,,NO
Deacon,Toliver,64ca91bd0295e9997833394e,,,,NOT FOUND
Kobe,Barker,6494c8c4e689be73b73cbf66,,,,NOT FOUND
Gustavo,Bravo,6494c8b9e689be73b73cbefc,Bryant University,Football,https://bryantbulldogs.com/images/2025/8/26/Bravo_8734_-_Cropped.png?width=300,YES
Jacob,McGhee,6494c8f8e689be73b73cc148,Lincoln University (Missouri),Football,https://d2ql8rvuol0tgx.cloudfront.net/images/2025/9/11/McGhee__Jacob.jpg?width=300,YES
Josiah,Morris,64dbac034c76cde499ceff93,,,,NOT FOUND
Dontarris,Wesby,6494c8c5e689be73b73cbf6a,Cleary University,Men's Wrestling,https://clearycougars.com/sports/mwrest/2025-26/bios/IMG_2593_headshot.jpg?max_width=510&max_height=600,YES
Jared,Moore,6494c8aee689be73b73cbe95,Arkansas State University,Men's Track and Field,https://astateredwolves.com/images/2025/9/30/Jared_Moore_JZHfe.jpg?width=300,YES
Jared,Hodgson,6494c90ce689be73b73cc200,Nebraska Wesleyan University,Football,,NO
Anthony,Guglielmo,6494c8dae689be73b73cc032,Florida Southern College,Men's Lacrosse,https://fscmocs.com/images/2025/1/22/Guglielmo_Anthony_XuoQR.png?width=300,YES
Olivia,Reeves,6494c92fe689be73b73cc33e,,,,NOT FOUND
Emily,Jones,6494c95ae689be73b73cc4c2,University of Wisconsin-Green Bay,Softball,https://greenbayphoenix.com/images/2025/9/5/Emily_Jones.JPG?width=100,YES
Julian,Stevens,6494c94ee689be73b73cc459,,,,NOT FOUND
Benjamin,Molnau,6494c8b4e689be73b73cbecd,,,,NOT FOUND
Nevaeh,Campbell,6494c92ee689be73b73cc333,,,,NOT FOUND
Kantrel,Smith,6494c958e689be73b73cc4af,University of the Cumberlands,Football,https://cumberlandspatriots.com/images/2025/8/28/Smith__Kantrel.jpg?width=146,YES
Evan,Atkin,6494c948e689be73b73cc423,"University of Colorado, Colorado Springs",Men's Track and Field,https://gomountainlions.com/images/2025/11/3/Evan_Atkin.jpg?width=300,YES
Jason,Barket,6494c909e689be73b73cc1e3,Morehead State University,Football,https://msueagles.com/images/2025/8/5/Barket_Jason.jpg?width=300,YES
Jeremy,Giesegh,6494c8bce689be73b73cbf1b,"California State University, San Bernardino",Baseball,https://csusbathletics.com/images/2024/1/2/Coyote.jpg?width=300,YES
Finn,Rodgers,6494c949e689be73b73cc427,,,,NOT FOUND
Ronaldo,Barnett,6494c903e689be73b73cc1a7,Middle Georgia State University,Men's Soccer,https://mgaknights.com/images/2025/8/11/_7_Ronaldo_Barnett.JPG?width=300,YES
Peyton,Greenwood,6494c8e1e689be73b73cc06d,Governors State University,Women's Basketball,https://governorssu.prestosports.com/sports/wbkb/2025-26/bios/202526JVNo0WBB.jpg?max_width=510&max_height=600,YES
Arthur,Chavez,6494c8bce689be73b73cbf1b,"California State University, San Bernardino",Baseball,https://csusbathletics.com/images/2024/1/2/Coyote.jpg?width=300,YES
Kate,Hawley,6494c94de689be73b73cc44b,,,,NOT FOUND
Braylon,Hilliard,6494c8e0e689be73b73cc065,,,,NOT FOUND
Dozie,Ononye,6494c8dbe689be73b73cc03c,,,,NOT FOUND
Matty,Ryan,6494c969e689be73b73cc548,,,,NOT FOUND
