firstName,lastName,schoolId,clubId,sport,campaign,imageUrl1,videoUrl1,thumbnailUrl1,instagramPermalink1,mediaType1,imageUrl2,videoUrl2,thumbnailUrl2,instagramPermalink2,mediaType2,imageUrl3,videoUrl3,thumbnailUrl3,instagramPermalink3,mediaType3
Dreshaun,Johnson,6494c8e1e689be73b73cc073,646d6d2a800a9c7c3591a634,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767975379589-386j0hb0c0r.jpg,,,https://www.instagram.com/stories/_lilmook5/3806373222825697725,ig_story,,,,,,,,,,
Jaxson,Stiner,6494c951e689be73b73cc46f,64933be988a1262046fe5b9e,Baseball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767831773646-3gz0sgxhdgi.jpg,,,https://www.instagram.com/stories/jt.stiner/3805168912258830332,ig_story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767890485912-7pzwwvzysgx.jpg,,,https://www.instagram.com/stories/jt.stiner/3805659300827822012,ig_story,,,,,
Riley,Cassiday,6494c915e689be73b73cc251,64de4ac3f2934e6039bf80fe,Softball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767903438678-h72v41azk1.jpg,,,https://www.instagram.com/stories/x.rileyyy/3805769252981574093,ig_story,,,,,,,,,,
Leo,Sanders,6494c8d7e689be73b73cc01a,64de4910f2934e6039bec68f,Men's Track and Field,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767825518435-ddxnwqoqxle.jpg,,,https://www.instagram.com/stories/notquiteleo_/3805116148896329124,ig_story,,,,,,,,,,
Gavin,Thompson,6494c8b7e689be73b73cbee8,6463bfde260eb73d04530c37,Baseball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767809362419-c4i2ak5yih.jpg,,,https://www.instagram.com/stories/gthomp06/3804980187873247028,ig_story,,,,,,,,,,
Jamilia,Duffus,6494c945e689be73b73cc407,64de4abbf2934e6039bf7e05,Women's Gymnastics,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767814330311-qmpaoogqgno.jpg,,,https://www.instagram.com/stories/jamiliagymnast/3805022216149726127,ig_story,,,,,,,,,,
Reginald,Alls,6494c967e689be73b73cc538,64de4b89f2934e6039bfdaaa,Men's Track and Field,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767810707685-o6zy94bdj7.jpg,,,https://www.instagram.com/stories/r.j.r.jj/3804991714456882286,ig_story,,,,,,,,,,
Avion,Phillips,6494c8b0e689be73b73cbeab,64c8250d5fb4879956cec3e5,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767686920014-43r7rqn2dls.jpg,,,https://www.instagram.com/stories/hack234572/3803917217860317885,ig_story,,,,,,,,,,
Paul,Ramseur,6494c960e689be73b73cc4fc,64de4bb5f2934e6039bfe96c,Baseball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767642186171-svfluuizoi.jpg,,,https://www.instagram.com/stories/paulramseur3/3803578225780700646,ig_story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767710722001-2cvln6qvcic.jpg,,,https://www.instagram.com/stories/paulramseur3/3804154192303586585,ig_story,,,,,
Andrew,Wright,6494c933e689be73b73cc35c,64527cb04d4dbaabada2468a,Men's Basketball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767575275613-y02lbwsida.jpg,,,https://www.instagram.com/stories/itsandrewwright/3803016964714072021,ig_story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767625315925-u8wnovccscq.jpg,,,https://www.instagram.com/stories/itsandrewwright/3803025880780999134,ig_story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/temp/1767637323492-99bovy307iu.jpg,,,https://www.instagram.com/stories/itsandrewwright/3803539480494853434,ig_story
Matthews,Rocha,6494c964e689be73b73cc51a,64de4b89f2934e6039bfd915,Men's Soccer,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767820716656-4ksgmdgzvf.jpg,,,https://www.instagram.com/stories/matthews.rocha/3805075709447187148,ig_story,,,,,,,,,,
Caelyn,Gunn,6494c946e689be73b73cc40e,64de4aacf2934e6039bf773a,Women's Volleyball,IG Story,,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767576230870-364o0c06se7.mp4,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767576230871-7v67q0g1vi9.jpg,https://www.instagram.com/stories/caelyngunn/3803024410962306829,ig_story,,,,,,,,,,
Bodde,Simon,6494c916e689be73b73cc255,64dab8ae81d80a4bb7b102d2,Baseball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767657971760-69fvypchnqr.jpg,,,https://www.instagram.com/stories/boddesimon10/3803710613911327539,ig_story,,,,,,,,,,
Eric,Rivera,64dbac034c76cde499ceff8b,64de4c9ef2934e6039c04105,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767842344839-21uyjml66h7.jpg,,,https://www.instagram.com/stories/eriicc.21k/3805257283367353319,ig_story,,,,,,,,,,
Anthony,Feltrinelli,6494c95de689be73b73cc4da,648b4bf50375cefde005d015,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767804649916-ydg7r5ek7q.jpg,,,https://www.instagram.com/stories/anthonyfeltrinelli/3804940987865675925,ig_story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767819320259-buyi7ctneol.jpg,,,https://www.instagram.com/stories/anthonyfeltrinelli/3805066033765642584,ig_story,,,,,
Chase,Schefke,6494c8e1e689be73b73cc073,646d6d2a800a9c7c3591a634,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767560259595-mny85esl14c.jpg,,,https://www.instagram.com/stories/playboichasee/3802892024123297137,ig_story,,,,,,,,,,
Peyton,Stevenson,6494c922e689be73b73cc2c8,64b0760ab3836a5d6ab5c681,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767740907961-1oejtx2yokg.jpg,,,https://www.instagram.com/stories/_psteve/3804406384394320549,ig_story,,,,,,,,,,
Camden,Hawkins,6494c93be689be73b73cc3ab,6491d7f2aa9b47ac5c9680e7,Men's Track and Field,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767826133448-xk74r3xwig.jpg,,,https://www.instagram.com/stories/itznotcam/3805122368243867669,ig_story,,,,,,,,,,
Nathan,Patterson,6494c948e689be73b73cc41e,649b4659c643f58a5eaa9665,Baseball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767747625384-w5fyg9ruvah.jpg,,,https://www.instagram.com/stories/nate.pttrsn/3804462555889147020,ig_story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767810927951-dvg82fa18r4.jpg,,,https://www.instagram.com/stories/nate.pttrsn/3804994337533177448,ig_story,,,,,
